Parent_Project_name,Parent_Project_ID,customerLevel,customerName,CustomerType,Nature_Customer_ID,clauseCustomer,projectName,projectId,projectLevel,owningCompany,supplierName,SuplierType
上级项目名,上级项目ID,客户层级,客户名称,内外部客户属性,自然客户ID,条款客户,项目名称,项目编号,项目层级,项目所属公司,供应商名称,内外部供应商属性
无,无,0,中国联合网络通信有限公司,内部客户,123,无,江苏省南京市鑫洋永磁有限责任公司数字化转型项目,Z9225D55WW5970,1,数科总部,Z9225D55WW5970-层级1-外部供应商1,外部供应商
无,无,0,中国联合网络通信有限公司,内部客户,123,无,江苏省南京市鑫洋永磁有限责任公司数字化转型项目,Z9225D55WW5970,1,数科总部,Z9225D55WW5970-层级1-外部供应商2,外部供应商
无,无,0,中国联合网络通信有限公司,内部客户,123,无,江苏省南京市鑫洋永磁有限责任公司数字化转型项目,Z9225D55WW5970,1,数科总部,Z9225D55WW5970-层级1-内部供应商-江苏数科分,内部供应商
无,无,0,中国工商银行,外部客户,456,无,江苏省泰州市鑫洋永磁有限责任公司数字化转型项目,Z9225D55PP5970,1,数科总部,Z9225D55PP5970-层级1-外部供应商1,外部供应商
无,无,0,中国工商银行,外部客户,456,无,江苏省泰州市鑫洋永磁有限责任公司数字化转型项目,Z9225D55PP5970,1,数科总部,Z9225D55PP5970-层级1-外部供应商2,外部供应商
无,无,0,中国工商银行,外部客户,456,无,江苏省泰州市鑫洋永磁有限责任公司数字化转型项目,Z9225D55PP5970,1,数科总部,Z9225D55PP5970-层级1-内部供应商-江苏数科分,内部供应商
江苏省南京市鑫洋永磁有限责任公司数字化转型项目,Z9225D55WW5970,0,中国联合网络通信有限公司,内部客户,123,数科总部,数科总部派单给江苏数科分-1,Z9225D55WW5971,2,江苏数科分,层级2-外部供应商1,外部供应商
江苏省南京市鑫洋永磁有限责任公司数字化转型项目,Z9225D55WW5970,0,中国联合网络通信有限公司,内部客户,123,数科总部,数科总部派单给江苏数科分-1,Z9225D55WW5971,2,江苏数科分,层级2-外部供应商2,外部供应商
江苏省南京市鑫洋永磁有限责任公司数字化转型项目,Z9225D55WW5970,0,中国联合网络通信有限公司,内部客户,123,数科总部,数科总部派单给江苏数科分-1,Z9225D55WW5971,2,江苏数科分,层级2-内部供应商-江苏产互,内部供应商
数科总部派单给江苏数科分-1,Z9225D55WW5971,0,中国联合网络通信有限公司,内部客户,123,0001,数科总部CT给运营公司,Z9225D55WW5972,2,江苏运营公司,层级2--外部供应商3,外部供应商
数科总部派单给江苏数科分-1,Z9225D55WW5971,0,中国联合网络通信有限公司,内部客户,123,0001,数科总部CT给运营公司,Z9225D55WW5972,2,江苏运营公司,层级2--外部供应商4,外部供应商
数科总部派单给江苏数科分-1,Z9225D55WW5971,0,中国联合网络通信有限公司,内部客户,123,0001,数科总部CT给运营公司,Z9225D55WW5972,2,江苏运营公司,层级2--外部供应商5,外部供应商
江苏省泰州市鑫洋永磁有限责任公司数字化转型项目,Z9225D55PP5970,0,中国联合网络通信有限公司,内部客户,123,0002,数科总部CT给运营公司,Z9225D55WW5972,2,江苏运营公司,层级2--外部供应商3,外部供应商
江苏省泰州市鑫洋永磁有限责任公司数字化转型项目,Z9225D55PP5970,0,中国联合网络通信有限公司,内部客户,123,0002,数科总部CT给运营公司,Z9225D55WW5972,2,江苏运营公司,层级2--外部供应商4,外部供应商
江苏省泰州市鑫洋永磁有限责任公司数字化转型项目,Z9225D55PP5970,0,中国联合网络通信有限公司,内部客户,123,0002,数科总部CT给运营公司,Z9225D55WW5972,2,江苏运营公司,层级2--外部供应商5,外部供应商
江苏省泰州市鑫洋永磁有限责任公司数字化转型项目,Z9225D55PP5970,0,中国工商银行,外部客户,456,数科总部,数科总部ct给江苏运营,Z9225D55PP5971,2,江苏运营公司,层级2-外部供应商11,外部供应商
江苏省泰州市鑫洋永磁有限责任公司数字化转型项目,Z9225D55PP5970,0,中国工商银行,外部客户,456,数科总部,数科总部ct给江苏运营,Z9225D55PP5971,2,江苏运营公司,层级2-外部供应商22,外部供应商
数科总部派单给江苏数科分-1,Z9225D55WW5971,0,中国联合网络通信有限公司,内部客户,123,江苏数科分公司,鑫洋永磁有限责任公司ERP集成,Z9225D55WW5973,3,江苏产互,层级3--外部供应商6,外部供应商
数科总部派单给江苏数科分-1,Z9225D55WW5971,0,中国联合网络通信有限公司,内部客户,123,江苏数科分公司,鑫洋永磁有限责任公司ERP集成,Z9225D55WW5973,3,江苏产互,层级3--外部供应商7,外部供应商
数科总部派单给江苏数科分-1,Z9225D55WW5971,0,中国联合网络通信有限公司,内部客户,123,江苏数科分公司,鑫洋永磁有限责任公司ERP集成,Z9225D55WW5973,3,江苏产互,层级3--外部供应商8,外部供应商
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
